State,District,State Name,District Name,Postal State,Postal District
1,1,JAMMU & KASHMIR,Kupwara,,
1,2,JAMMU & KASHMIR,Badgam,,
1,3,JAMMU & KASHMIR,Leh(Ladakh),,
1,4,JAMMU & KASHMIR,Kargil,,
1,5,JAMMU & KASHMIR,Punch,,
1,6,JAMMU & KASHMIR,Rajouri,,
1,7,JAMMU & KASHMIR,Kathua,,
1,8,JAMMU & KASHMIR,Baramula,,
1,9,JAMMU & KASHMIR,Bandipore,,
1,10,JAMMU & KASHMIR,Srinagar,,
1,11,JAMMU & KASHMIR,Ganderbal,,
1,12,JAMMU & KASHMIR,Pulwama,,
1,13,JAMMU & KASHMIR,Shupiyan,,
1,14,JAMMU & KASHMIR,Anantnag,,
1,15,JAMMU & KASHMIR,Kulgam,,
1,16,JAMMU & KASHMIR,Doda,,
1,17,JAMMU & KASHMIR,Ramban,,
1,18,JAMMU & KASHMIR,Kishtwar,,
1,19,JAMMU & KASHMIR,Udhampur,,
1,20,JAMMU & KASHMIR,Reasi,,
1,21,JAMMU & KASHMIR,Jammu,,
1,22,JAMMU & KASHMIR,Samba,,
2,23,HIMACHAL PRADESH,Chamba,,
2,24,HIMACHAL PRADESH,Kangra,,
2,25,HIMACHAL PRADESH,Lahul & Spiti,,
2,26,HIMACHAL PRADESH,Kullu,,
2,27,HIMACHAL PRADESH,Mandi,,
2,28,HIMACHAL PRADESH,Hamirpur,,
2,29,HIMACHAL PRADESH,Una,,
2,30,HIMACHAL PRADESH,Bilaspur,,
2,31,HIMACHAL PRADESH,Solan,,
2,32,HIMACHAL PRADESH,Sirmaur,,
2,33,HIMACHAL PRADESH,Shimla,,
2,34,HIMACHAL PRADESH,Kinnaur,,
3,35,PUNJAB,Gurdaspur,,
3,36,PUNJAB,Kapurthala ,,
3,37,PUNJAB,Jalandhar,,
3,38,PUNJAB,Hoshiarpur,,
3,39,PUNJAB,Shahid Bhagat Singh Nagar ,,
3,40,PUNJAB,Fatehgarh Sahib,,
3,41,PUNJAB,Ludhiana,,
3,42,PUNJAB,Moga,,
3,43,PUNJAB,Firozpur,,
3,44,PUNJAB,Muktsar,,
3,45,PUNJAB,Faridkot,,
3,46,PUNJAB,Bathinda,,
3,47,PUNJAB,Mansa,,
3,48,PUNJAB,Patiala,,
3,49,PUNJAB,Amritsar ,,
3,50,PUNJAB,Tarn Taran,,
3,51,PUNJAB,Rupnagar,,
3,52,PUNJAB,Sahibzada Ajit Singh Nagar,,
3,53,PUNJAB,Sangrur,,
3,54,PUNJAB,Barnala,,
4,55,CHANDIGARH,Chandigarh,,
5,56,UTTARAKHAND,Uttarkashi,UTTARAKHAND,UTTAR KASHI
5,57,UTTARAKHAND,Chamoli,,
5,58,UTTARAKHAND,Rudraprayag,UTTARAKHAND,RUDRA PRAYAG
5,59,UTTARAKHAND,Tehri Garhwal,,
5,60,UTTARAKHAND,Dehradun,,
5,61,UTTARAKHAND,Garhwal,,
5,62,UTTARAKHAND,Pithoragarh,,
5,63,UTTARAKHAND,Bageshwar,,
5,64,UTTARAKHAND,Almora,,
5,65,UTTARAKHAND,Champawat,,
5,66,UTTARAKHAND,Nainital,,
5,67,UTTARAKHAND,Udham Singh Nagar,,
5,68,UTTARAKHAND,Hardwar,,
6,69,HARYANA,Panchkula,,
6,70,HARYANA,Ambala,,
6,71,HARYANA,Yamunanagar,,
6,72,HARYANA,Kurukshetra,,
6,73,HARYANA,Kaithal,,
6,74,HARYANA,Karnal,,
6,75,HARYANA,Panipat,,
6,76,HARYANA,Sonipat,,
6,77,HARYANA,Jind,,
6,78,HARYANA,Fatehabad,,
6,79,HARYANA,Sirsa,,
6,80,HARYANA,Hisar,,
6,81,HARYANA,Bhiwani,,
6,82,HARYANA,Rohtak,,
6,83,HARYANA,Jhajjar,,
6,84,HARYANA,Mahendragarh,,
6,85,HARYANA,Rewari,,
6,86,HARYANA,Gurgaon,,
6,87,HARYANA,Mewat ,,
6,88,HARYANA,Faridabad,,
6,89,HARYANA,Palwal ,,
7,90,NCT OF DELHI,North West,,
7,91,NCT OF DELHI,North,,
7,92,NCT OF DELHI,North East,,
7,93,NCT OF DELHI,East,,
7,94,NCT OF DELHI,New Delhi,,
7,95,NCT OF DELHI,Central,,
7,96,NCT OF DELHI,West,,
7,97,NCT OF DELHI,South West,,
7,98,NCT OF DELHI,South,,
8,99,RAJASTHAN,Ganganagar ,,
8,100,RAJASTHAN,Hanumangarh ,,
8,101,RAJASTHAN,Bikaner,,
8,102,RAJASTHAN,Churu ,,
8,103,RAJASTHAN,Jhunjhunun,,
8,104,RAJASTHAN,Alwar,,
8,105,RAJASTHAN,Bharatpur ,,
8,106,RAJASTHAN,Dhaulpur,,
8,107,RAJASTHAN,Karauli ,,
8,108,RAJASTHAN,Sawai Madhopur,,
8,109,RAJASTHAN,Dausa,,
8,110,RAJASTHAN,Jaipur ,,
8,111,RAJASTHAN,Sikar,,
8,112,RAJASTHAN,Nagaur,,
8,113,RAJASTHAN,Jodhpur,,
8,114,RAJASTHAN,Jaisalmer,,
8,115,RAJASTHAN,Barmer,,
8,116,RAJASTHAN,Jalor,,
8,117,RAJASTHAN,Sirohi,,
8,118,RAJASTHAN,Pali,,
8,119,RAJASTHAN,Ajmer,,
8,120,RAJASTHAN,Tonk ,,
8,121,RAJASTHAN,Bundi ,,
8,122,RAJASTHAN,Bhilwara,,
